parent,formal_parent,src,dst,n_src,n_dst,graph_action,delta_U_rel,delta_U0,barrier_U_rel,direction,path_n_nodes,path_frac_src,path_frac_dst,path_frac_other,src_peak_day,dst_peak_day,transfer_proxy,composition,reverse_action,action_ratio,reversible,keep,keep_reason
macrophages,Macrophages,AM (PBS),AM (Bleo),1194,3286,0.7161429123354491,0.5793479579118639,0.00024147242971933602,1.0576669531247824,climb,37,0.21621621621621623,0.2702702702702703,0.5135135135135135,0.0,21.0,0.18805422466287303,strong,0.6892898048770522,0.9625031442791391,True,False,not_kept
macrophages,Macrophages,AM (PBS),M2 macrophages,1194,2361,1.048265892036831,0.48474638691713057,0.00020204246213006982,0.3733867515696063,climb,37,0.13513513513513514,0.2702702702702703,0.5945945945945946,0.0,10.0,0.052592337329458186,strong,1.0312931415212623,0.9838087353165962,True,False,not_kept
macrophages,Macrophages,AM (PBS),Resolution macrophages,1194,1935,0.8456486558586591,0.4404146126971804,0.00018356496326527028,1.4738122794624129,climb,46,0.17391304347826086,0.30434782608695654,0.5217391304347826,0.0,7.0,0.08142836706846938,strong,0.8319922895066927,0.9838510163076133,True,False,not_kept
macrophages,Macrophages,AM (PBS),Fn1+ macrophages,1194,247,0.8026631666314533,0.13008635045213912,5.4220035969776426e-05,0.37624685690526005,climb,31,0.0967741935483871,0.16129032258064516,0.7419354838709677,0.0,14.0,0.0054046941427167835,none,0.7809497473797934,0.9729482799818038,True,False,not_kept
macrophages,Macrophages,AM (PBS),Cd163-/Cd11c+ IMs,1194,734,0.392427142548144,-0.022557234518243097,-9.40186316789049e-06,0.314325576388355,flat,14,0.5,0.14285714285714285,0.35714285714285715,0.0,7.0,0.04658534809528337,strong,0.3821196620630391,0.9737340276231936,True,True,mst+local_cheap
macrophages,Macrophages,AM (PBS),Cd163+/Cd11c- IMs,1194,480,0.5221250160560568,0.06298953974078908,2.6254062002628586e-05,0.3150406027222685,climb,18,0.16666666666666666,0.1111111111111111,0.7222222222222223,0.0,3.0,0.0686858096827102,strong,0.5206772124991577,0.9972270940610498,True,True,local_cheap
macrophages,Macrophages,AM (Bleo),AM (PBS),3286,1194,0.6892898048770522,-0.5793479579118639,-0.00024147242971933602,0.0,relax,41,0.34146341463414637,0.21951219512195122,0.4390243902439024,21.0,0.0,0.0040642729496457135,weak,0.7161429123354491,1.0389576449083673,True,False,not_kept
macrophages,Macrophages,AM (Bleo),M2 macrophages,3286,2361,0.35513831983165633,-0.09460157099473339,-3.94299675892662e-05,0.0,relax,25,0.24,0.24,0.52,21.0,10.0,0.040237382235222295,weak,0.3636765922004208,1.0240421038534726,True,False,not_kept
macrophages,Macrophages,AM (Bleo),Resolution macrophages,3286,1935,0.13743257594022504,-0.13893334521468356,-5.790746645406575e-05,0.0,relax,12,0.5,0.3333333333333333,0.16666666666666669,21.0,7.0,0.07917833682680517,weak,0.14584567572638676,1.0612161980341523,True,True,local_cheap
macrophages,Macrophages,AM (Bleo),Fn1+ macrophages,3286,247,0.12004615218083929,-0.4492616074597248,-0.0001872523937495596,0.0,relax,9,0.5555555555555556,0.1111111111111111,0.3333333333333333,21.0,14.0,0.00410681261154075,none,0.12839051532258952,1.0695096259987629,True,True,mst+local_cheap
macrophages,Macrophages,AM (Bleo),Cd163-/Cd11c+ IMs,3286,734,0.3071701428140129,-0.6019051924301071,-0.0002508742928872265,0.0,relax,24,0.4166666666666667,0.125,0.45833333333333326,21.0,7.0,0.05245408644868495,weak,0.32489391940186135,1.057700193203746,True,False,not_kept
