gene,score,logfoldchange,pval,pval_adj,comparison,direction
KRT6A,-5.0247025,-0.5055198,5.042140117432137e-07,3.5675519698812286e-06,deep_valley_vs_other_EOC,down_in_group_1
SLC34A2,4.991237,0.50691587,5.999372469677081e-07,4.234851155066175e-06,deep_valley_vs_other_EOC,up_in_group_1
SOX9,-4.9906783,-0.36970952,6.016762188342485e-07,4.237156470663722e-06,deep_valley_vs_other_EOC,down_in_group_1
MT-TV,-4.9797935,-0.5847663,6.365217918302354e-07,4.472050059697204e-06,deep_valley_vs_other_EOC,down_in_group_1
PLAU,4.974153,0.4399498,6.553349692831634e-07,4.593469410863295e-06,deep_valley_vs_other_EOC,up_in_group_1
IGFL1,4.971289,1.0698538,6.650922232459974e-07,4.650994568153828e-06,deep_valley_vs_other_EOC,up_in_group_1
MEOX1,-4.9389987,-1.9104245,7.852479239629074e-07,5.478473888113307e-06,deep_valley_vs_other_EOC,down_in_group_1
S100A11,4.9251866,0.19388874,8.427983722564361e-07,5.866345978583082e-06,deep_valley_vs_other_EOC,up_in_group_1
CPM,-4.9231515,-0.67411304,8.516138921843318e-07,5.913985362391193e-06,deep_valley_vs_other_EOC,down_in_group_1
TUBA1B,4.917323,0.356213,8.773574492811089e-07,6.078689025042325e-06,deep_valley_vs_other_EOC,up_in_group_1
FAM46A,-4.910276,-0.22336513,9.094842786496052e-07,6.286757686518009e-06,deep_valley_vs_other_EOC,down_in_group_1
TPX2,4.8992147,1.1076033,9.622034273893272e-07,6.635885706133292e-06,deep_valley_vs_other_EOC,up_in_group_1
ZNF165,-4.8881917,-0.46092334,1.0176633886185905e-06,7.00227102260498e-06,deep_valley_vs_other_EOC,down_in_group_1
SLC16A3,-4.8812637,-0.44937027,1.0540805053950633e-06,7.236250609119428e-06,deep_valley_vs_other_EOC,down_in_group_1
PTGDS,4.868771,0.6456673,1.1229439073598914e-06,7.69139662575268e-06,deep_valley_vs_other_EOC,up_in_group_1
UNC5B-AS1,-4.8409777,-0.51276773,1.2920178688280834e-06,8.829279285841117e-06,deep_valley_vs_other_EOC,down_in_group_1
FXYD5,-4.8336167,-0.51322216,1.3407472885487576e-06,9.141458785559711e-06,deep_valley_vs_other_EOC,down_in_group_1
RARRES2,-4.823253,-0.40494475,1.4123567217677552e-06,9.60786885556296e-06,deep_valley_vs_other_EOC,down_in_group_1
ALDH2,4.8077264,0.6717127,1.5265648768600794e-06,1.0361300069186058e-05,deep_valley_vs_other_EOC,up_in_group_1
GPNMB,-4.7660775,-0.7067834,1.878471846803113e-06,1.272102830792176e-05,deep_valley_vs_other_EOC,down_in_group_1
PMAIP1,4.7572966,0.35441834,1.9620284043664397e-06,1.3256948678151618e-05,deep_valley_vs_other_EOC,up_in_group_1
RP11-400N13.3,-4.7533836,-1.6743491,2.000403871320004e-06,1.3485868795415755e-05,deep_valley_vs_other_EOC,down_in_group_1
MMP7,-4.717042,-0.75045836,2.39298487487928e-06,1.6096310817573634e-05,deep_valley_vs_other_EOC,down_in_group_1
GADD45G,-4.6984878,-0.51508373,2.6209474440332832e-06,1.75902513022368e-05,deep_valley_vs_other_EOC,down_in_group_1
RUNX1,4.6913714,0.22995573,2.713796359768129e-06,1.817274348059015e-05,deep_valley_vs_other_EOC,up_in_group_1
HLA-C,-4.6884255,-0.21226896,2.7531474267383453e-06,1.839519438800676e-05,deep_valley_vs_other_EOC,down_in_group_1
CLDN6,-4.6204534,-0.320866,3.829027554115664e-06,2.5526850360771093e-05,deep_valley_vs_other_EOC,down_in_group_1
CREB5,-4.6167665,-0.32128042,3.897658664279127e-06,2.592677603733344e-05,deep_valley_vs_other_EOC,down_in_group_1
HMGN3,4.5844316,0.17486641,4.552225355602449e-06,3.0213885103556078e-05,deep_valley_vs_other_EOC,up_in_group_1
LINC01315,4.5318413,0.7921386,5.847176277500126e-06,3.872302170529885e-05,deep_valley_vs_other_EOC,up_in_group_1
PHLDA2,-4.5264397,-0.23368862,5.998570417630572e-06,3.963813051297736e-05,deep_valley_vs_other_EOC,down_in_group_1
THBS1,4.5259624,0.62486047,6.012128367721928e-06,3.9640406820144575e-05,deep_valley_vs_other_EOC,up_in_group_1
CTHRC1,-4.508206,-0.84031296,6.537806349031754e-06,4.301188387520891e-05,deep_valley_vs_other_EOC,down_in_group_1
HOTAIRM1,4.499557,0.53524274,6.809516321678347e-06,4.470142005478127e-05,deep_valley_vs_other_EOC,up_in_group_1
CENPW,4.4927487,0.46954274,7.0309763943818965e-06,4.605443053088578e-05,deep_valley_vs_other_EOC,up_in_group_1
DEFB1,-4.46684,-0.48687533,7.938359109111455e-06,5.1884700059552e-05,deep_valley_vs_other_EOC,down_in_group_1
KRT16,-4.4421053,-0.40360752,8.90829861699331e-06,5.803254127796572e-05,deep_valley_vs_other_EOC,down_in_group_1
NDRG2,-4.4418793,-0.7702406,8.917667176380733e-06,5.803254127796572e-05,deep_valley_vs_other_EOC,down_in_group_1
CRIP2,-4.434876,-0.21859021,9.212538234289888e-06,5.9821676846038223e-05,deep_valley_vs_other_EOC,down_in_group_1
WLS,-4.4196196,-0.7711832,9.887490659600196e-06,6.406581420907255e-05,deep_valley_vs_other_EOC,down_in_group_1
PKIB,-4.3996964,-1.7529308,1.0840256714182977e-05,7.008786668652786e-05,deep_valley_vs_other_EOC,down_in_group_1
OTUD1,-4.389854,-0.3321958,1.1342686547122656e-05,7.317862288466229e-05,deep_valley_vs_other_EOC,down_in_group_1
FOS,-4.3810477,-0.3386445,1.18109877208236e-05,7.603640163620344e-05,deep_valley_vs_other_EOC,down_in_group_1
OASL,4.380219,0.85815305,1.1856017111147692e-05,7.616285082107725e-05,deep_valley_vs_other_EOC,up_in_group_1
TK1,4.3687687,0.8263482,1.2494904030261964e-05,8.00955386555254e-05,deep_valley_vs_other_EOC,up_in_group_1
KCNMA1,-4.363254,-0.6561482,1.2814203526694689e-05,8.196718673791912e-05,deep_valley_vs_other_EOC,down_in_group_1
TSPAN7,-4.34465,-0.63623154,1.394980528220518e-05,8.904131031194796e-05,deep_valley_vs_other_EOC,down_in_group_1
NR4A1,4.307492,0.41874745,1.651163864989769e-05,0.0001051696729292,deep_valley_vs_other_EOC,up_in_group_1
RGS20,-4.276545,-1.3345,1.8981598077854392e-05,0.0001206457504948,deep_valley_vs_other_EOC,down_in_group_1
ID1,-4.268945,-0.24623986,1.9639942683601423e-05,0.0001245662326655,deep_valley_vs_other_EOC,down_in_group_1
KLK10,4.26436,0.31449464,2.0047582605216928e-05,0.0001268834342102,deep_valley_vs_other_EOC,up_in_group_1
CHCHD10,4.2553782,0.208172,2.086957535446619e-05,0.0001318078443439,deep_valley_vs_other_EOC,up_in_group_1
