,Fibroblast,Immune,Neuron,RBC,Satellite,Schwann,VEC,VECC,VSMC
Sncg,2.9012017998056057,3.041069088443654,5.523835479718481,3.092491445216402,3.120741045942283,3.1146556995012404,2.757264883602272,3.1286549426916905,3.067346692110289
Stmn4,0.23725898712134555,0.3215719501965896,1.2029209371781497,0.2439982125318948,0.29046511650945095,0.24587013705064184,0.25028092011568726,0.3115489431786613,0.28127044150653646
Fxyd2,2.1965308375368635,2.2717293579906275,4.5640168788069095,2.3488355959857725,2.2139504108057304,2.187779899106872,2.0090018295759684,2.3874322561822408,2.289487440223087
Skp1a,1.555482338258418,1.6085675284996832,3.7365371586883596,1.5902007158093632,1.661603310006047,1.6154971395987658,1.6616443955112554,1.7694922960444126,1.6380247800962513
Aspscr1,0.4352434968760836,0.5991965959003333,1.3026019658447698,0.45835747364508517,0.5689867109317253,0.4492054450667499,0.47657359108032726,0.5972018243112411,0.5241081076522186
Serpinb1a,0.9106751411215173,1.1064085447653964,1.447402401837764,0.9983216589570125,1.0486912714911358,0.9626176194861334,1.000793716279371,1.387382862241505,1.0005178101206222
Nrn1,1.437856464923725,1.569173860100296,3.1390496459511184,1.584631032457824,1.4992921499931384,1.4741794131379573,1.405947600416227,1.7070855884042324,1.5521435358836762
Ctla2a,0.10802157347712636,0.21676838227106374,0.17223467809743367,0.1265141188951094,0.13757132413700948,0.12129104867633901,1.9306196644880058,0.1334733620291141,0.1373529077882774
Rasgrf2,0.2359927869739559,0.3133506394863818,0.6534444810101182,0.2280442877747767,0.2854479530944761,0.23911028176109247,0.4764089497357286,0.3252310701093077,0.28091867032354023
Rgs7bp,0.9478142073632727,1.026645982752236,3.113232361140434,0.9644639470409911,0.9474432092025656,0.9493948487699767,1.0452557638692463,1.1450943531649866,1.1386868538245174
Fst,0.14660548422108535,0.19670680603331867,0.3540030288706936,0.1455002131476208,0.18419791981494177,0.14863926750410797,0.17975425191723293,0.19327706803858935,0.1904520183760686
