gene_idx,U,pval,mean_late,mean_control,log1p_diff,n_late,n_control,gene,pval_adj,significant
576,44609393.5,4.204463365209177e-44,0.12587723486164432,0.03802623578168727,0.08785099907995705,15298,5509,Fcrls,1.747599894201687e-43,False
2015,38851646.5,4.692930998709992e-44,0.11583016406937284,0.2062287973119994,-0.09039863324262655,15298,5509,AF529169,1.94731088106225e-43,False
758,37491365.0,4.699177994519506e-44,0.4063715472707428,0.6170614375475842,-0.21068989027684143,15298,5509,Rgs3,1.94731088106225e-43,True
2436,40774661.5,4.913867050894635e-44,0.010772523279269289,0.04079968293728906,-0.030027159658019775,15298,5509,Kcnf1,2.0331961246893838e-43,False
2324,47274665.0,5.417637555734519e-44,0.7851488137836067,0.6363819345177648,0.14876687926584187,15298,5509,Hist1h1c,2.2382535823163005e-43,True
707,39493292.0,6.343219988804265e-44,0.06427951657067672,0.12498430066642877,-0.06070478409575204,15298,5509,St6galnac3,2.616697838518803e-43,False
1540,45168254.0,6.396231897427092e-44,0.12312564875631087,0.055851122231038074,0.0672745265252728,15298,5509,Man1a,2.6345925059432375e-43,False
1695,37648172.5,7.886195670052288e-44,0.3326995641994338,0.4754382429771002,-0.14273867877766638,15298,5509,Hmgb2,3.2434203244500763e-43,True
1342,37448256.0,7.946288938219586e-44,0.45052707354311494,0.668116822628053,-0.2175897490849381,15298,5509,Rras,3.263228265169755e-43,True
601,43973943.0,8.390719934832321e-44,0.03984194709856624,0.006742106675945773,0.03309984042262047,15298,5509,2210017I01Rik,3.4405725669814692e-43,False
2538,47394964.0,1.2257697877267457e-43,1.6473614812416753,1.6351299076138774,0.01223157362779781,15298,5509,Basp1,5.018683187773427e-43,False
628,47206815.0,1.269258356599402e-43,0.709542036296825,0.5700756094327174,0.1394664268641076,15298,5509,Rhoc,5.18897100941609e-43,True
2047,39735859.0,1.7121903955714964e-43,0.11332801156937508,0.22065686096004333,-0.10732884939066825,15298,5509,Camp,6.989314525206035e-43,True
682,37071292.0,1.9517366652161403e-43,0.6950245072786367,0.8634545564812786,-0.16843004920264182,15298,5509,Eif4e,7.95529028221482e-43,True
584,36940295.5,2.0775609963729666e-43,1.1382457111375026,1.4080399996740265,-0.2697942885365239,15298,5509,Fam189b,8.455549590892952e-43,True
1556,36961612.5,2.5590937709866256e-43,1.046779820550936,1.3146345157553296,-0.26785469520439364,15298,5509,Ank3,1.0399883304083835e-42,True
198,38029444.5,3.610648536922315e-43,0.23129967398660822,0.3862280209419492,-0.15492834695534097,15298,5509,Smyd3,1.465151891466251e-42,True
2188,38540038.0,3.975655671243358e-43,0.1552449244539958,0.24208672150162133,-0.08684179704762554,15298,5509,Tmem132e,1.6108767793852717e-42,False
1539,39000716.0,4.165448500212294e-43,0.09841359617911684,0.1610442633911005,-0.06263066721198367,15298,5509,Pln,1.685281308887666e-42,False
