gene,Fibroblast,Immune,Neuron,RBC,Satellite,Schwann,VEC,VECC,VSMC,log1p_diff,pval_adj,mean_late,mean_control,best_celltype
Gfra1,-0.018185340281123456,-0.0595794751014701,0.37627050708973914,-0.057160278357948235,-0.10956239608893348,-0.0701395575529777,-0.07369470490177339,-0.029161271961361594,-0.04816645614682457,0.3042109336388115,1.7144894222810674e-243,0.7036776000346793,0.39946666639586775,Neuron
Gm26870,0.005957127651016219,0.01505371588322905,-0.08230592736359348,0.02058415237887798,0.02219580548382837,0.030287242560407872,-0.023815582564552556,0.03201981107932329,0.0033361993342477187,-0.13722496847670013,4.1204117556940155e-252,0.04980569588018473,0.18703066435688484,Neuron
Gm34583,-0.03551642238559008,-0.024331130840444706,0.20824281418568683,-0.01797015811546492,-0.04180137963678771,-0.06103222637662574,-0.04895857285101517,-0.011902023805887273,-0.014799792275363214,0.16039468037078525,1.2741042779276346e-208,0.18555048352098755,0.025155803150202292,Neuron
Gng3,-0.09901702506373807,-0.12332793101139294,0.8038660679014648,-0.04770987733304,-0.21443559736238174,-0.1955703442699664,-0.16050109906202964,-0.048909919196400864,-0.06522548797017393,-0.5169993344284922,7.919578587914367e-296,2.2235328219389303,2.7405321563674225,Neuron
Hsbp1l1,-0.07552033471738459,-0.11956867603873636,0.6844157380090475,-0.04365795502798581,-0.1927293979823905,-0.1537749425391641,-0.11517301625683622,-0.056593765634893455,-0.05467359204508852,-0.43215393118297707,2.745506782088609e-208,0.48380264205811263,0.9159565732410897,Neuron
Hspb1,-0.07902012535456122,-0.08062135936124423,0.49651270791051927,-0.03499046854091861,-0.15204762413301295,-0.17745264390457183,0.009328489270069169,-0.02672297271596248,-0.02059831343252154,0.261368131516869,8.757953711308117e-219,2.4178288255988614,2.1564606940819924,Neuron
Kbtbd11,-0.08588906754476325,-0.12770627949985583,0.5913027598748052,-0.05774400905809052,-0.16906992504492968,-0.17087518153608752,0.04208380100323164,-0.07511500669513971,-0.06939452647146786,-0.3250253904104052,1.8701716372764206e-213,0.21780934435039973,0.5428347347608049,Neuron
Kif21a,-0.11814526949203932,-0.15651793757996085,0.8144232626423746,-0.07193804997351139,-0.15061857003628537,-0.21677338347303846,-0.14846117179570503,-0.06835651827860786,-0.08430425017961202,-0.6242463852138704,0.0,1.8910464065707013,2.5152927917845718,Neuron
Kif22,-0.06953546168959608,-0.05965856827580266,0.46970922828098793,-0.03339270749783648,-0.10738024108286429,-0.12887407819721486,-0.0936547977466053,-0.03883942213901039,-0.042264222004777356,0.7236238444513454,0.0,0.9955328017731234,0.27190895732177794,Neuron
Kif5b,-0.1206549315268848,-0.1624218273167501,0.7727575091978542,-0.08883259567912978,-0.23233194682494163,-0.15218861323607216,-0.04169628862700802,-0.06966949403178341,-0.07869237479212855,-0.5212339331635458,7.31264876976785e-226,1.6203268980320413,2.141560831195587,Neuron
Malat1,-0.031865071202991334,-0.1902255611778107,0.36169924772710266,-0.18836159546965223,0.16104938514746028,-0.1306132857905273,-0.07459777382250427,-0.1432078153705118,-0.021094987901184952,-1.1076503859508389,0.0,4.199435559571079,5.3070859455219175,Neuron
Meg3,-0.04148736671261156,-0.15629689257208956,0.8371180134580775,-0.06334184220913518,-0.23629215093952716,-0.20740183229539075,-0.13033043370218064,-0.08018117336432867,-0.06259179993715203,-0.7434498840561847,0.0,1.0694082307024013,1.812858114758586,Neuron
